appid,header_image,windows,mac,linux,metacritic_score,recommendations,developers,publishers,positive,negative,estimated_owners,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,pct_pos_total,num_reviews_total,pct_pos_recent,num_reviews_recent,release_year,final_name,final_price,on_steam,on_epic,gen_action,gen_adventure,gen_rpg,gen_simulation,gen_strategy,gen_sports_racing,gen_horror,gen_2d,gen_3d,gen_anime,gen_open_world,gen_sandbox,gen_rogue,gen_scifi,gen_survival,gen_indie,gen_puzzle,gen_arcade,gen_story,gen_fps,lang_english,lang_turkish,cat_singleplayer,cat_controller,cat_multiplayer,cat_coop,cat_online_coop,cat_pvp,cat_split_screen,cat_mmo,is_retro,is_mid_era,is_recent,dev_rockstar,dev_ubisoft,dev_valve,dev_bethesda,dev_ea,dev_square_enix,dev_capcom,dev_fromsoftware,dev_cdprojekt,dev_sony,norm_reviews
1011390.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1011390/header.jpg?t=1728379224,1,0,0,76.0,706.0,['Ageod'],['Slitherine Ltd.'],683.0,146.0,20000 - 50000,51.0,0.0,51.0,0.0,81.0,706.0,-1.0,-1.0,2019.0,Field of Glory: Empires,39.99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0325093320280508
660160.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/660160/header.jpg?t=1728379262,1,0,0,84.0,670.0,['Byzantine Games'],['Slitherine Ltd.'],944.0,191.0,100000 - 200000,75.0,0.0,86.0,0.0,87.0,671.0,-1.0,-1.0,2017.0,Field of Glory II,29.99,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.027717065296718215
2142790.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2142790/392f4398472c48fd35bffef5ffbcfe14c5d90be7/header_alt_assets_0.jpg?t=1741621802,1,0,0,0.0,15997.0,['NPC Studio'],['NPC Studio'],16967.0,362.0,500000 - 1000000,0.0,0.0,0.0,0.0,97.0,16096.0,95.0,973.0,2024.0,Fields of Mistria,13.99,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3275036387778293
300970.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/300970/header.jpg?t=1721306549,1,0,0,0.0,0.0,['gamigo AG'],['gamigo AG'],468.0,293.0,200000 - 500000,0.0,0.0,0.0,0.0,60.0,563.0,-1.0,-1.0,2014.0,Fiesta Online NA,0.0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.011180010496626884
1506830.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1506830/header.jpg?t=1712678728,1,0,0,0.0,101252.0,['EA Canada & EA Romania'],['Electronic Arts'],97381.0,23608.0,2000000 - 5000000,8593.0,0.0,4725.0,0.0,80.0,120966.0,76.0,123.0,2021.0,FIFA 22,0.0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5178721151778829
1213750.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1213750/header.jpg?t=1736326270,1,0,0,60.0,727.0,['Calappa Games'],['PLAYISM'],828.0,61.0,0 - 20000,17.0,0.0,17.0,0.0,93.0,727.0,-1.0,-1.0,2020.0,Fight Crab,19.99,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03527208670352684
871200.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/871200/header.jpg?t=1669256167,1,0,0,0.0,627.0,['ARIKA'],['ARIKA'],556.0,109.0,20000 - 50000,330.0,0.0,330.0,0.0,83.0,627.0,-1.0,-1.0,2018.0,FIGHTING EX LAYER,39.99,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.021325324318866506
792120.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/792120/header.jpg?t=1667599530,1,0,0,0.0,1275.0,['Team Sorcerobe'],['Team Sorcerobe'],1322.0,105.0,100000 - 200000,0.0,0.0,0.0,0.0,92.0,1275.0,100.0,12.0,2021.0,FIGHT KNIGHT,19.99,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0882408129881756
674520.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/674520/header.jpg?t=1676503282,1,0,0,0.0,2306.0,['sebagamesdev'],['sebagamesdev'],2655.0,257.0,200000 - 500000,837.0,0.0,392.0,0.0,92.0,2314.0,86.0,61.0,2017.0,Fight'N Rage,19.99,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14446544012364515
612930.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/612930/header.jpg?t=1732008369,1,0,0,0.0,748.0,['Digital Crafter'],"['Digital Crafter', 'Light of Creators']",709.0,134.0,50000 - 100000,0.0,0.0,0.0,0.0,83.0,748.0,-1.0,-1.0,2019.0,Fight of Gods,14.99,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.037956268890220926
